timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783489012804,4,2_내프로필조회,200,,Thread Group 1-22,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489012808,5,3_타유저프로필조회,200,,Thread Group 1-22,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/e3cc3a93-5010-4786-9a6b-0b9a8a44f1df,5,0,0
1783489012783,103,1_로그인,200,,Thread Group 1-23,text,true,,860,294,2,2,http://localhost:8081/api/v1/auth/login,103,0,1
1783489012886,4,2_내프로필조회,200,,Thread Group 1-23,text,true,,555,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489012890,4,3_타유저프로필조회,200,,Thread Group 1-23,text,true,,485,249,2,2,http://localhost:8081/api/v1/users/0d8f3982-0ecf-42a8-83bb-5eb74686b6a8,4,0,0
1783489012883,101,1_로그인,200,,Thread Group 1-24,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,101,0,1
1783489012984,6,2_내프로필조회,200,,Thread Group 1-24,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,6,0,0
1783489012990,4,3_타유저프로필조회,200,,Thread Group 1-24,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/abb761de-93d2-4028-82b0-8835cb149680,4,0,0
1783489012982,111,1_로그인,200,,Thread Group 1-25,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,111,0,1
1783489013093,5,2_내프로필조회,200,,Thread Group 1-25,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489013098,6,3_타유저프로필조회,200,,Thread Group 1-25,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/2dfda69a-a186-4a8e-8e20-33fb2978f157,6,0,0
1783489013079,97,1_로그인,200,,Thread Group 1-26,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,1
1783489013176,5,2_내프로필조회,200,,Thread Group 1-26,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489013182,4,3_타유저프로필조회,200,,Thread Group 1-26,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/4b11d77a-32ab-4092-8a2e-a9e18100f820,4,0,0
1783489013179,97,1_로그인,200,,Thread Group 1-27,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,1
1783489013276,5,2_내프로필조회,200,,Thread Group 1-27,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489013282,5,3_타유저프로필조회,200,,Thread Group 1-27,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/09c47624-da9a-4891-a33a-369c8b120fe8,5,0,0
1783489013279,95,1_로그인,200,,Thread Group 1-28,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,95,0,1
1783489013374,5,2_내프로필조회,200,,Thread Group 1-28,text,true,,557,215,1,1,http://localhost:8081/api/v1/users/me,5,0,0
1783489013379,6,3_타유저프로필조회,200,,Thread Group 1-28,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/9ade1e2f-9e01-4b7b-a152-df0605704ffe,6,0,0
1783489013380,95,1_로그인,200,,Thread Group 1-29,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,95,0,1
1783489013475,4,2_내프로필조회,200,,Thread Group 1-29,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489013479,5,3_타유저프로필조회,200,,Thread Group 1-29,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/6351ee33-a662-4952-9172-a1dbac3e6b46,5,0,0
1783489013478,95,1_로그인,200,,Thread Group 1-30,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,95,0,1
1783489013574,5,2_내프로필조회,200,,Thread Group 1-30,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489013579,6,3_타유저프로필조회,200,,Thread Group 1-30,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/db709483-dbd5-4fe8-af2e-c4e8c8a8966c,6,0,0
1783489013575,97,1_로그인,200,,Thread Group 1-31,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,0
1783489013672,4,2_내프로필조회,200,,Thread Group 1-31,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489013676,5,3_타유저프로필조회,200,,Thread Group 1-31,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/e337f903-106c-4f49-9c96-658c56ccbf3b,5,0,0
1783489013675,96,1_로그인,200,,Thread Group 1-32,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,96,0,1
1783489013771,4,2_내프로필조회,200,,Thread Group 1-32,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489013775,4,3_타유저프로필조회,200,,Thread Group 1-32,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/b361fa0a-1d90-40d8-a8f1-87af6f7373b2,4,0,0
1783489013775,103,1_로그인,200,,Thread Group 1-33,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,103,0,1
1783489013878,6,2_내프로필조회,200,,Thread Group 1-33,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,6,0,0
1783489013884,5,3_타유저프로필조회,200,,Thread Group 1-33,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/6ff896a4-ff81-47ed-9d0d-da90965e1bef,5,0,0
1783489013873,101,1_로그인,200,,Thread Group 1-34,text,true,,860,294,2,2,http://localhost:8081/api/v1/auth/login,101,0,1
1783489013974,4,2_내프로필조회,200,,Thread Group 1-34,text,true,,555,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
1783489013979,6,3_타유저프로필조회,200,,Thread Group 1-34,text,true,,485,249,2,2,http://localhost:8081/api/v1/users/4c6c1781-c641-439f-8c83-967df389faaf,5,0,0
1783489013972,111,1_로그인,200,,Thread Group 1-35,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,111,0,0
1783489014083,5,2_내프로필조회,200,,Thread Group 1-35,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,5,0,0
1783489014089,4,3_타유저프로필조회,200,,Thread Group 1-35,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/932e148b-9865-4626-9e4d-aa27d0a535c4,4,0,0
1783489014073,97,1_로그인,200,,Thread Group 1-36,text,true,,862,295,1,1,http://localhost:8081/api/v1/auth/login,97,0,1
1783489014171,4,2_내프로필조회,200,,Thread Group 1-36,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,4,0,0
